Date,Close,High,Low,Open,Volume,MA50,MA200,Year
2020-09-30,2177.478759765625,2188.574483950127,2149.25877465761,2174.5955650905657,3917166,2026.1923559570312,,2020
2020-10-01,2204.69384765625,2219.153334285986,2177.4787257472676,2192.9428618337893,2610337,2032.3474560546874,,2020
2020-10-05,2364.009765625,2383.492924857861,2274.2389033903096,2289.047776689921,17412105,2041.9300146484375,,2020
2020-10-06,2371.435791015625,2390.3946533177104,2315.345432819533,2390.3946533177104,9846367,2050.797888183594,,2020
2020-10-07,2390.35107421875,2420.099999544905,2361.563284754469,2395.6368948563645,9656101,2058.245146484375,,2020
2020-10-08,2468.76416015625,2520.5735658865633,2446.3105665450184,2446.3105665450184,19839329,2067.8495434570314,,2020
2020-10-09,2457.624267578125,2472.389624533133,2428.8364821496007,2455.0469477843085,7739245,2077.1708544921876,,2020
2020-10-12,2472.520751953125,2493.489125821279,2446.9655463013128,2459.8523594077824,4623203,2086.756906738281,,2020
2020-10-13,2469.506591796875,2494.275355457132,2456.96916626297,2485.625986553803,4209878,2096.7588208007815,,2020
2020-10-14,2465.16357421875,2493.591484344709,2445.816700894613,2493.591484344709,4395936,2106.751638183594,,2020
2020-10-15,2404.622802734375,2481.08877185226,2392.689976426881,2466.3921979229785,6629355,2115.3623901367187,,2020
2020-10-16,2424.539794921875,2431.8660178338555,2396.462759469137,2412.9580606397767,5273773,2123.5222607421874,,2020
2020-10-19,2379.1337890625,2433.927831688607,2374.790665802685,2433.927831688607,3331194,2130.996796875,1863.0015356445313,2020
2020-10-20,2403.21875,2421.556478070708,2384.749282299319,2390.935047006207,3406273,2139.172333984375,1865.687060546875,2020
2020-10-21,2347.415283203125,2411.9925428240776,2336.579432135589,2403.2184702783375,4570143,2146.282473144531,1868.1363970947266,2020
2020-10-22,2343.68603515625,2357.2858460515677,2314.687900067399,2334.7804382219956,5262294,2153.7120556640625,1870.381993408203,2020
2020-10-23,2357.41796875,2370.7545168241036,2342.7653097302127,2358.295376047122,3499091,2161.4669677734373,1872.697108154297,2020
2020-10-26,2358.646728515625,2377.73034107311,2343.1166590696266,2360.182191594963,2672752,2169.4613745117185,1874.995121459961,2020
2020-10-27,2307.712158203125,2384.9239816588565,2302.404016709115,2368.7797769842164,3537502,2176.240498046875,1876.8258190917968,2020
2020-10-28,2300.737060546875,2330.349552820302,2286.5231070977775,2325.129022950541,3569445,2182.59443359375,1878.7976971435546,2020
2020-10-29,2309.90625,2329.5163889016144,2281.478339073982,2288.2782456705877,3105968,2189.3615258789064,1880.8188653564453,2020
2020-10-30,2338.15869140625,2346.494059908927,2300.2108295387998,2312.933234095517,3427003,2196.7591943359375,1883.081162109375,2020
2020-11-02,2285.29541015625,2338.159206247563,2281.303163625868,2333.9036946538213,2571196,2203.1738623046876,1885.0078985595703,2020
2020-11-03,2310.739501953125,2338.2900001353455,2282.179857045537,2284.7681652354368,2879269,2210.106142578125,1886.9757666015626,2020
2020-11-04,2327.893310546875,2388.1713690764577,2290.0332676868647,2290.0332676868647,4893928,2217.4767333984373,1888.9781774902344,2020
2020-11-05,2356.45263671875,2377.7736759913773,2340.0451637893,2355.838494478542,2816502,2225.228916015625,1891.2081884765626,2020
2020-11-06,2375.53662109375,2380.6256268533502,2352.5925032795994,2368.122571409635,3884421,2233.451906738281,1893.7434637451172,2020
2020-11-09,2392.3388671875,2407.6056687613727,2364.700536806311,2396.2872000990988,3646592,2242.1830541992185,1896.3597375488282,2020
2020-11-10,2324.778076171875,2380.5371293260437,2314.9072457095467,2366.5425280904883,4760020,2249.23623046875,1898.4838873291017,2020
2020-11-11,2358.296142578125,2362.683180489681,2319.339117397008,2340.879516384914,3242441,2257.15021484375,1900.8228729248046,2020
2020-11-12,2343.598876953125,2380.4060713738277,2335.438945993102,2356.7160736122746,2437505,2264.441767578125,1903.1209436035156,2020
2020-11-13,2331.14013671875,2338.2030955271266,2312.846105172195,2330.1749028114787,2548093,2270.8839208984373,1905.417767944336,2020
2020-11-14,2342.984130859375,2359.347687559987,2333.946794903856,2349.6522962806785,298819,2277.749929199219,1907.7112548828125,2020
2020-11-17,2339.211669921875,2364.6125672736275,2325.1731537525325,2364.6125672736275,2827273,2283.872119140625,1910.111640625,2020
2020-11-18,2304.641357421875,2337.5880380683093,2287.4443061623165,2334.7803780882514,2893762,2288.9333349609374,1912.411441040039,2020
2020-11-19,2313.63525390625,2348.07349088108,2308.3271110405285,2313.723080321704,4167501,2294.5335107421874,1915.0098944091797,2020
2020-11-20,2334.122314453125,2347.9414767320977,2305.4311441827363,2329.515927026801,2711471,2300.4822705078127,1917.609613647461,2020
2020-11-23,2390.276611328125,2395.3217028267527,2338.29023371183,2360.2254141406465,3706418,2306.8036181640623,1920.4674536132814,2020
2020-11-24,2388.3466796875,2406.728320518279,2373.386841779783,2399.182531751046,3120516,2311.0367138671877,1923.1482458496093,2020
2020-11-25,2370.140380859375,2397.9102362028125,2358.6462595522107,2394.444520212119,3302249,2314.90568359375,1925.8165270996094,2020
2020-11-26,2387.07421875,2396.155255142034,2351.4513991825606,2356.7158426135666,2341099,2318.91064453125,1928.5341009521485,2020
2020-11-27,2351.144287109375,2384.5296763157157,2341.8438986460687,2373.3866469154177,6086808,2322.9317724609373,1930.9624426269531,2020
2020-12-01,2392.51416015625,2400.4984376982857,2302.7114413829427,2350.5740502730196,3605017,2327.973369140625,1933.634521484375,2020
2020-12-02,2412.475341796875,2416.993903814778,2371.1493713020454,2385.6705053037354,2509032,2333.1451025390625,1936.3315521240233,2020
2020-12-03,2377.290283203125,2433.839119843398,2369.7007985612113,2433.839119843398,2852548,2336.60578125,1938.761192626953,2020
2020-12-04,2393.172119140625,2403.0868636242376,2368.122100027345,2378.475548123412,2686527,2341.3538720703127,1941.3036779785157,2020
2020-12-07,2402.078125,2407.6058342984543,2374.395879507655,2382.1610204520057,1996400,2348.6425341796876,1943.808507080078,2020
2020-12-08,2454.371337890625,2461.6099476872682,2397.471392168468,2404.095859733607,4277818,2355.403544921875,1946.5208721923827,2020
